ID,Time,Position(x),Position(y),Position(z),
1,0,0,0,0,
2,0,-0.25,0,0.81,
3,0,-0.17,0,5.45,
4,0,-0.37,0,3.64,
5,0,-10.27,0,5.11,
6,0,-10.41,0,3.31,
7,0,-10.48,0,1.12,
1,0.02,3.898167E-10,0,3.898167E-10,
2,0.02,-0.2407103,0,0.8192897,
3,0.02,-0.1685856,0,5.451414,
4,0.02,-0.3711853,0,3.638815,
5,0.02,-10.26853,0,5.111476,
6,0.02,-10.41078,0,3.309218,
7,0.02,-10.48069,0,1.119306,
1,0.04,3.898167E-10,0,3.898167E-10,
2,0.04,-0.2381698,0,0.8284969,
3,0.04,-0.1738461,0,5.45282,
4,0.04,-0.3790253,0,3.637641,
5,0.04,-10.26039,0,5.112944,
6,0.04,-10.40489,0,3.308444,
7,0.04,-10.47472,0,1.118612,
1,0.06,3.898167E-10,0,3.898167E-10,
2,0.06,-0.2333684,0,0.8466316,
3,0.06,-0.1843833,0,5.455616,
4,0.06,-0.3946812,0,3.635319,
5,0.06,-10.24413,0,5.115866,
6,0.06,-10.39309,0,3.306909,
7,0.06,-10.46278,0,1.117224,
1,0.08,3.898167E-10,0,3.898167E-10,
2,0.08,-0.2107077,0,0.8826256,
3,0.08,-0.19214,0,5.461194,
4,0.08,-0.4126255,0,3.630708,
5,0.08,-10.22497,0,5.121697,
6,0.08,-10.3828,0,3.303868,
7,0.08,-10.45222,0,1.114447,
1,0.09999999,3.898167E-10,0,3.898167E-10,
2,0.09999999,-0.170909,0,0.9357576,
3,0.09999999,-0.1971633,0,5.469504,
4,0.09999999,-0.4327712,0,3.623895,
5,0.09999999,-10.20294,0,5.130394,
6,0.09999999,-10.37396,0,3.299371,
7,0.09999999,-10.44305,0,1.110279,
1,0.12,3.898167E-10,0,3.898167E-10,
2,0.12,-0.1150735,0,1.004927,
3,0.12,-0.1995295,0,5.480471,
4,0.12,-0.4549842,0,3.615016,
5,0.12,-10.17811,0,5.141886,
6,0.12,-10.3665,0,3.293497,
7,0.12,-10.43528,0,1.104717,
1,0.14,3.898167E-10,0,3.898167E-10,
2,0.14,-0.04472498,0,1.088608,
3,0.14,-0.1993413,0,5.493992,
4,0.14,-0.4790844,0,3.604249,
5,0.14,-10.15058,0,5.156083,
6,0.14,-10.36032,0,3.286345,
7,0.14,-10.4289,0,1.09776,
1,0.16,3.898167E-10,0,3.898167E-10,
2,0.16,0.03821861,0,1.184885,
3,0.16,-0.1967229,0,5.509944,
4,0.16,-0.5048481,0,3.591818,
5,0.16,-10.12047,0,5.172867,
6,0.16,-10.3553,0,3.278037,
7,0.16,-10.42392,0,1.089407,
1,0.18,3.898167E-10,0,3.898167E-10,
2,0.18,0.1315771,0,1.291577,
3,0.18,-0.1918157,0,5.528185,
4,0.18,-0.5320134,0,3.577986,
5,0.18,-10.08789,0,5.192109,
6,0.18,-10.35129,0,3.26871,
7,0.18,-10.42034,0,1.079658,
1,0.2,3.898167E-10,0,3.898167E-10,
2,0.2,0.2331069,0,1.40644,
3,0.2,-0.1847726,0,5.548562,
4,0.2,-0.5602896,0,3.563044,
5,0.2,-10.05301,0,5.21366,
6,0.2,-10.34816,0,3.258511,
7,0.2,-10.41815,0,1.068514,
1,0.22,3.898167E-10,0,3.898167E-10,
2,0.22,0.3406974,0,1.527364,
3,0.22,-0.1757526,0,5.570915,
4,0.22,-0.5893722,0,3.547294,
5,0.22,-10.01597,0,5.237365,
6,0.22,-10.34574,0,3.247596,
7,0.22,-10.41736,0,1.055977,
1,0.24,-0.05,0,0.025,
2,0.24,0.3584299,0,1.589937,
3,0.24,-0.1703342,0,5.583,
4,0.24,-0.6041687,0,3.539164,
5,0.24,-9.996451,0,5.250215,
6,0.24,-10.34481,0,3.241858,
7,0.24,-10.41765,0,1.049014,
1,0.26,-0.05,0,0.025,
2,0.26,0.3479285,0,1.592769,
3,0.26,-0.1820111,0,5.584656,
4,0.26,-0.6177816,0,3.538885,
5,0.26,-9.981286,0,5.252046,
6,0.26,-10.33194,0,3.241393,
7,0.26,-10.40568,0,1.047648,
1,0.28,-0.05,0,0.025,
2,0.28,0.3402609,0,1.598435,
3,0.28,-0.1920352,0,5.587965,
4,0.28,-0.6316611,0,3.538339,
5,0.28,-9.964295,0,5.255703,
6,0.28,-10.31952,0,3.240476,
7,0.28,-10.39508,0,1.044917,
1,0.3,-0.05,0,0.025,
2,0.3,0.3354144,0,1.606922,
3,0.3,-0.2004178,0,5.592916,
4,0.3,-0.6457884,0,3.537545,
5,0.3,-9.945495,0,5.261172,
6,0.3,-10.30754,0,3.239123,
7,0.3,-10.38584,0,1.040824,
1,0.32,-0.1,0,0.05,
2,0.32,0.3343793,0,1.612553,
3,0.32,-0.2037976,0,5.596203,
4,0.32,-0.6529617,0,3.537038,
5,0.32,-9.935201,0,5.264799,
6,0.32,-10.30176,0,3.238238,
7,0.32,-10.3819,0,1.0381,
1,0.34,-0.1,0,0.05,
2,0.34,0.3238055,0,1.615313,
3,0.34,-0.2155337,0,5.5978,
4,0.34,-0.6664919,0,3.536841,
5,0.34,-9.920114,0,5.266552,
6,0.34,-10.28883,0,3.23783,
7,0.34,-10.36991,0,1.036755,
1,0.36,-0.1,0,0.05,
2,0.36,0.3159944,0,1.620835,
3,0.36,-0.225676,0,5.600991,
4,0.36,-0.6802066,0,3.53646,
5,0.36,-9.903279,0,5.270053,
6,0.36,-10.27631,0,3.237026,
7,0.36,-10.35927,0,1.034067,
1,0.38,-0.1,0,0.05,
2,0.38,0.3134656,0,1.624973,
3,0.38,-0.2299552,0,5.603379,
4,0.38,-0.6871477,0,3.536186,
5,0.38,-9.893994,0,5.272671,
6,0.38,-10.27023,0,3.236432,
7,0.38,-10.35461,0,1.032053,
1,0.4,-0.1,0,0.05,
2,0.4,0.3028453,0,1.627686,
3,0.4,-0.2417216,0,5.604946,
4,0.4,-0.7006393,0,3.536027,
5,0.4,-9.878949,0,5.274384,
6,0.4,-10.25728,0,3.236052,
7,0.4,-10.34261,0,1.030721,
1,0.42,-0.15,0,0.075,
2,0.42,0.298893,0,1.6304,
3,0.42,-0.2468229,0,5.606511,
4,0.42,-0.7074581,0,3.535875,
5,0.42,-9.870572,0,5.276094,
6,0.42,-10.25099,0,3.235678,
7,0.42,-10.33728,0,1.029389,
1,0.44,-0.15,0,0.075,
2,0.44,0.2883185,0,1.633159,
3,0.44,-0.258602,0,5.608066,
4,0.44,-0.7209274,0,3.535739,
5,0.44,-9.855544,0,5.27779,
6,0.44,-10.23802,0,3.235309,
7,0.44,-10.32527,0,1.028062,
1,0.46,-0.15,0,0.075,
2,0.46,0.2844126,0,1.63592,
3,0.46,-0.263716,0,5.609618,
4,0.46,-0.7277238,0,3.535609,
5,0.46,-9.847184,0,5.279483,
6,0.46,-10.23172,0,3.234946,
7,0.46,-10.31993,0,1.026736,
1,0.48,-0.15,0,0.075,
2,0.48,0.273834,0,1.638675,
3,0.48,-0.2755076,0,5.61116,
4,0.48,-0.7411776,0,3.535489,
5,0.48,-9.832171,0,5.281161,
6,0.48,-10.21874,0,3.234589,
7,0.48,-10.30792,0,1.025414,
1,0.5,-0.2,0,0.1,
2,0.5,0.269924,0,1.641431,
3,0.5,-0.280634,0,5.6127,
4,0.5,-0.7479585,0,3.535375,
5,0.5,-9.823829,0,5.282838,
6,0.5,-10.21243,0,3.234238,
7,0.5,-10.30257,0,1.024094,
1,0.52,-0.2,0,0.1,
2,0.52,0.2593844,0,1.644225,
3,0.52,-0.2924376,0,5.61423,
4,0.52,-0.7613903,0,3.535276,
5,0.52,-9.808833,0,5.2845,
6,0.52,-10.19944,0,3.233892,
7,0.52,-10.29055,0,1.022778,
1,0.54,-0.2,0,0.1,
2,0.54,0.2555139,0,1.647021,
3,0.54,-0.297576,0,5.615758,
4,0.54,-0.7681494,0,3.535184,
5,0.54,-9.800507,0,5.28616,
6,0.54,-10.19312,0,3.233551,
7,0.54,-10.2852,0,1.021463,
1,0.56,-0.2,0,0.1,
2,0.56,0.2449725,0,1.649813,
3,0.56,-0.3093914,0,5.617277,
4,0.56,-0.7815665,0,3.5351,
5,0.56,-9.785526,0,5.287807,
6,0.56,-10.18012,0,3.233215,
7,0.56,-10.27318,0,1.020153,
1,0.58,-0.2,0,0.1,
2,0.58,0.2410998,0,1.652607,
3,0.58,-0.3145415,0,5.618793,
4,0.58,-0.7883109,0,3.535022,
5,0.58,-9.777216,0,5.289451,
6,0.58,-10.17378,0,3.232885,
7,0.58,-10.26782,0,1.018843,
1,0.6,-0.2,0,0.1,
2,0.6,0.230555,0,1.655396,
3,0.6,-0.3263685,0,5.6203,
4,0.6,-0.8017138,0,3.534952,
5,0.6,-9.762253,0,5.291081,
6,0.6,-10.16077,0,3.232559,
7,0.6,-10.25579,0,1.017539,
1,0.62,-0.25,0,0.125,
2,0.62,0.2266787,0,1.658186,
3,0.62,-0.3315301,0,5.621805,
4,0.62,-0.8084439,0,3.534889,
5,0.62,-9.753958,0,5.29271,
6,0.62,-10.15443,0,3.232239,
7,0.62,-10.25043,0,1.016235,
1,0.64,-0.25,0,0.125,
2,0.64,0.2161702,0,1.661011,
3,0.64,-0.3433682,0,5.6233,
4,0.64,-0.8218257,0,3.53484,
5,0.64,-9.73901,0,5.294324,
6,0.64,-10.14141,0,3.231924,
7,0.64,-10.2384,0,1.014935,
1,0.66,-0.25,0,0.125,
2,0.66,0.212331,0,1.663838,
3,0.66,-0.3485409,0,5.624794,
4,0.66,-0.828535,0,3.534798,
5,0.66,-9.73073,0,5.295938,
6,0.66,-10.13505,0,3.231613,
7,0.66,-10.23303,0,1.013637,
1,0.68,-0.25,0,0.125,
2,0.68,0.2070762,0,1.66525,
3,0.68,-0.3544655,0,5.625536,
4,0.68,-0.8352191,0,3.534781,
5,0.68,-9.723264,0,5.296738,
6,0.68,-10.12854,0,3.23146,
7,0.68,-10.22701,0,1.01299,
1,0.7,-0.25,0,0.125,
2,0.7,0.1965711,0,1.668078,
3,0.7,-0.3663172,0,5.627018,
4,0.7,-0.8485843,0,3.534749,
5,0.7,-9.708335,0,5.298334,
6,0.7,-10.11551,0,3.231156,
7,0.7,-10.21497,0,1.011698,
1,0.72,-0.3,0,0.15,
2,0.72,0.1927349,0,1.670909,
3,0.72,-0.3715035,0,5.628499,
4,0.72,-0.8552768,0,3.534723,
5,0.72,-9.700074,0,5.299929,
6,0.72,-10.10914,0,3.230858,
7,0.72,-10.20959,0,1.010406,
1,0.74,-0.3,0,0.15,
2,0.74,0.1874977,0,1.672338,
3,0.74,-0.3774346,0,5.629234,
4,0.74,-0.8619491,0,3.534717,
5,0.74,-9.692616,0,5.300719,
6,0.74,-10.10262,0,3.23071,
7,0.74,-10.20357,0,1.009763,
1,0.76,-0.3,0,0.15,
2,0.76,0.1770291,0,1.675203,
3,0.76,-0.3892995,0,5.630703,
4,0.76,-0.8752906,0,3.534709,
5,0.76,-9.677705,0,5.302298,
6,0.76,-10.08958,0,3.230418,
7,0.76,-10.19152,0,1.008478,
1,0.78,-0.3,0,0.15,
2,0.78,0.1732301,0,1.678071,
3,0.78,-0.3944988,0,5.63217,
4,0.78,-0.8819596,0,3.534707,
5,0.78,-9.669462,0,5.303874,
6,0.78,-10.0832,0,3.230131,
7,0.78,-10.18614,0,1.007193,
1,0.8,-0.35,0,0.175,
2,0.8,0.1679956,0,1.679503,
3,0.8,-0.4004364,0,5.632899,
4,0.8,-0.8886241,0,3.534709,
5,0.8,-9.662014,0,5.304656,
6,0.8,-10.07668,0,3.229989,
7,0.8,-10.18011,0,1.006553,
1,0.82,-0.35,0,0.175,
2,0.82,0.1575546,0,1.682395,
3,0.82,-0.4123139,0,5.634356,
4,0.82,-0.9019423,0,3.534724,
5,0.82,-9.647121,0,5.306216,
6,0.82,-10.06363,0,3.229707,
7,0.82,-10.16806,0,1.005275,
1,0.84,-0.35,0,0.175,
2,0.84,0.1537836,0,1.685291,
3,0.84,-0.4175259,0,5.63581,
4,0.84,-0.908588,0,3.534745,
5,0.84,-9.638896,0,5.307774,
6,0.84,-10.05724,0,3.22943,
7,0.84,-10.16267,0,1.003997,
1,0.86,-0.35,0,0.175,
2,0.86,0.1485646,0,1.686739,
3,0.86,-0.4234696,0,5.636533,
4,0.86,-0.9152411,0,3.534759,
5,0.86,-9.631456,0,5.308547,
6,0.86,-10.05071,0,3.229294,
7,0.86,-10.15664,0,1.003361,
1,0.88,-0.4,0,0.2,
2,0.88,0.1433487,0,1.688189,
3,0.88,-0.4294146,0,5.637255,
4,0.88,-0.9218927,0,3.534774,
5,0.88,-9.624019,0,5.309319,
6,0.88,-10.04418,0,3.229158,
7,0.88,-10.15061,0,1.002725,
1,0.9,-0.4,0,0.2,
2,0.9,0.132934,0,1.691108,
