ID,Time,Position (x,y,z)
0,0,(5.2, 0.3, 6.7)
1,0,(-6.3, 0.3, 6.7)
0,0.02,(5.2, 0.3, 6.7)
1,0.02,(-6.3, 0.3, 6.7)
0,0.3533334,(5.2, 0.0, 6.7)
1,0.3533334,(-6.3, 0.0, 6.7)
0,0.4031294,(5.2, 0.0, 6.7)
1,0.4031294,(-6.3, 0.0, 6.7)
0,0.4198712,(5.2, 0.0, 6.7)
1,0.4198712,(-6.3, 0.0, 6.7)
0,0.4362645,(5.1, 0.0, 6.7)
1,0.4362645,(-6.2, 0.0, 6.7)
0,0.4528314,(5.1, 0.0, 6.7)
1,0.4528314,(-6.2, 0.0, 6.7)
0,0.4693978,(5.1, 0.0, 6.7)
1,0.4693978,(-6.2, 0.0, 6.7)
0,0.4859643,(5.1, 0.0, 6.7)
1,0.4859643,(-6.2, 0.0, 6.7)
0,0.5025308,(5.1, 0.0, 6.7)
1,0.5025308,(-6.2, 0.0, 6.7)
0,0.5190981,(5.1, 0.0, 6.7)
1,0.5190981,(-6.2, 0.0, 6.7)
0,0.5436907,(5.1, 0.0, 6.7)
1,0.5436907,(-6.2, 0.0, 6.7)
0,0.5603667,(5.1, 0.0, 6.7)
1,0.5603667,(-6.2, 0.0, 6.7)
0,0.5768617,(5.1, 0.0, 6.7)
1,0.5768617,(-6.2, 0.0, 6.7)
0,0.5933923,(5.0, 0.0, 6.7)
1,0.5933923,(-6.2, 0.0, 6.7)
0,0.6099588,(5.0, 0.0, 6.7)
1,0.6099588,(-6.1, 0.0, 6.7)
0,0.6265265,(5.0, 0.0, 6.7)
1,0.6265265,(-6.1, 0.0, 6.7)
0,0.6433954,(5.0, 0.0, 6.7)
1,0.6433954,(-6.1, 0.0, 6.7)
0,0.6599143,(5.0, 0.0, 6.7)
1,0.6599143,(-6.1, 0.0, 6.7)
0,0.7166388,(5.0, 0.0, 6.7)
1,0.7166388,(-6.1, 0.0, 6.7)
0,0.7332113,(5.0, 0.0, 6.7)
1,0.7332113,(-6.1, 0.0, 6.7)
0,0.750181,(5.0, 0.0, 6.7)
1,0.750181,(-6.1, 0.0, 6.7)
0,0.7665003,(5.0, 0.0, 6.7)
1,0.7665003,(-6.1, 0.0, 6.7)
0,0.7831548,(5.0, 0.0, 6.7)
1,0.7831548,(-6.1, 0.0, 6.7)
0,0.7995464,(5.0, 0.0, 6.7)
1,0.7995464,(-6.1, 0.0, 6.7)
0,0.8161278,(4.9, 0.0, 6.7)
1,0.8161278,(-6.0, 0.0, 6.7)
0,0.8326075,(4.9, 0.0, 6.7)
1,0.8326075,(-6.0, 0.0, 6.7)
0,0.849174,(4.9, 0.0, 6.7)
1,0.849174,(-6.0, 0.0, 6.7)
0,0.8657404,(4.9, 0.0, 6.7)
1,0.8657404,(-6.0, 0.0, 6.7)
0,0.8823069,(4.9, 0.0, 6.7)
1,0.8823069,(-6.0, 0.0, 6.7)
0,0.8989072,(4.9, 0.0, 6.7)
1,0.8989072,(-6.0, 0.0, 6.7)
0,0.9154403,(4.9, 0.0, 6.7)
1,0.9154403,(-6.0, 0.0, 6.7)
0,0.9320076,(4.9, 0.0, 6.7)
1,0.9320076,(-6.0, 0.0, 6.7)
0,0.9486279,(4.9, 0.0, 6.7)
1,0.9486279,(-6.0, 0.0, 6.7)
0,0.9651401,(4.8, 0.0, 6.7)
1,0.9651401,(-6.0, 0.0, 6.7)
0,0.9817075,(4.8, 0.0, 6.7)
1,0.9817075,(-5.9, 0.0, 6.7)
0,0.998693,(4.8, 0.0, 6.7)
1,0.998693,(-5.9, 0.0, 6.7)
0,1.018284,(4.8, 0.0, 6.7)
1,1.018284,(-5.9, 0.0, 6.7)
0,1.052222,(4.8, 0.0, 6.7)
1,1.052222,(-5.9, 0.0, 6.7)
0,1.07343,(4.8, 0.0, 6.7)
1,1.07343,(-5.9, 0.0, 6.7)
0,1.095459,(4.8, 0.0, 6.7)
1,1.095459,(-5.9, 0.0, 6.7)
0,1.117308,(4.8, 0.0, 6.7)
1,1.117308,(-5.9, 0.0, 6.7)
0,1.139498,(4.8, 0.0, 6.7)
1,1.139498,(-5.9, 0.0, 6.7)
0,1.159606,(4.8, 0.0, 6.7)
1,1.159606,(-5.9, 0.0, 6.7)
0,1.179536,(4.7, 0.0, 6.7)
1,1.179536,(-5.9, 0.0, 6.7)
0,1.210801,(4.7, 0.0, 6.7)
1,1.210801,(-5.8, 0.0, 6.7)
0,1.232037,(4.7, 0.0, 6.7)
1,1.232037,(-5.8, 0.0, 6.7)
0,1.25316,(4.7, 0.0, 6.7)
1,1.25316,(-5.8, 0.0, 6.7)
0,1.273271,(4.7, 0.0, 6.7)
1,1.273271,(-5.8, 0.0, 6.7)
0,1.293918,(4.7, 0.0, 6.7)
1,1.293918,(-5.8, 0.0, 6.7)
